ticker,variable,abnormal_n,abnormal_mean,abnormal_var,abnormal_skew,abnormal_kurt_excess,normal_n,normal_mean,normal_var,normal_skew,normal_kurt_excess,ks_stat,ks_pvalue
50,trade_price_returns,264,2.6952627975116476e-05,2.1442774481469658e-07,-0.0317132750269069,0.6899760277446374,14520,2.80495352625451e-06,1.869927529174358e-07,-0.0584732573858658,3.1007733271554985,0.165426997245179,1.1580057699795765e-06
50,midquote_returns,264,2.8228984874162955e-05,8.200232103765737e-08,0.5128484472696522,2.7633381959211314,14520,2.839456932871166e-06,1.0471731721906297e-07,0.0581752351046613,7.274173262492528,0.0979338842975205,0.0129477929482712
50,trade_size,265,237.73584905660377,1280388.7935963506,7.788083145687279,69.13770025082617,14575,721.5780445969125,419137104.6865635,72.44101020659109,5757.699893549801,0.0194168096054888,0.999944644480974
50,bid_ask_spread,265,0.0696226415094352,0.0011854631217839,1.76024540330478,2.5427314697280283,14575,0.0674614065180102,0.0010711590531882,2.2058559729606557,6.1358156948318845,0.0417152658662092,0.7399026960691981
50,spread_first_diff,264,1.0765799026668184e-16,0.001958174904943,-0.1326450112649365,1.9238106227312968,14520,-0.0001033057851239,0.0012345784862128,-0.0316718878744372,3.937659707401543,0.0391873278236915,0.8063413124372572
50,pressure_level_1,265,0.1686013868267207,0.5046902310491065,-0.3782231524707899,-1.3594129976372258,14575,0.0922970298074587,0.4693940459165404,-0.196503148944508,-1.4581297491264988,0.082058319039451,0.0569615464064005
50,pressure_level_5,265,0.1066003216428747,0.1342023858545987,-0.2471772536645799,-0.9967726913156736,14575,0.0598686206346979,0.1001295015760435,0.1189027211526514,-0.3451907113815169,0.1670668953687821,8.217352104792928e-07
56,trade_price_returns,14520,-6.199768740319685e-07,1.1145204830075958e-07,0.2227643273962869,5.823751325453745,264,1.074488529255247e-06,7.056597505936093e-08,0.3993369348626949,2.9315307390419165,0.1203168044077134,0.0010039066832235
56,midquote_returns,14520,-9.357521171069276e-07,7.261674921355405e-08,0.2967578639476472,10.481814634528984,264,1.058341594300314e-06,3.8434699600112937e-08,0.8305865702582091,7.829033210755773,0.0772727272727272,0.0860361297298015
56,trade_size,14575,2278.559176672384,1911340266.896028,43.99009775875395,2454.1063074527724,265,8713.207547169812,8637144711.263718,11.881300645503032,143.52923636088565,0.0332761578044596,0.9263415681442076
56,bid_ask_spread,14575,0.0124905660377359,3.595392156101464e-05,3.3441617908473007,16.01807394677282,265,0.0108301886792455,7.641509433962122e-06,3.0398135629387717,7.295471053247347,0.1065523156089194,0.0050327715677968
56,spread_first_diff,14520,-1.101928374656211e-05,4.5223378808085584e-05,0.1249643446387626,9.598678469208602,264,-2.6914497566670465e-17,1.4448669201522726e-05,0.0,4.046237929649076,0.0758953168044077,0.0960757361254364
56,pressure_level_1,14575,-0.1433064615443914,0.4635052319086333,0.3117720700113854,-1.3729824027484705,265,0.1246746713779375,0.4342820712030074,-0.2386382604535999,-1.3524992280345702,0.1948542024013722,4.009913959213631e-09
56,pressure_level_5,14575,0.0213404780576131,0.2719379102666646,-0.0360596788221817,-1.1549902862462995,265,-0.0227133515203203,0.1766562363060006,0.202569989009011,-1.2985387720291066,0.1343396226415094,0.0001490404384911
2330,trade_price_returns,528,2.810549213763122e-05,9.884409195172703e-07,0.0885086226468887,-0.5151569479345315,14256,2.1640885312950463e-06,1.0944756445483916e-06,0.0299695098223665,0.1966886794573672,0.1029040404040404,3.806198403182792e-05
2330,midquote_returns,528,2.5002635363375107e-05,2.2288762104341441e-07,1.442647417438132,12.879793727859504,14256,1.1594353825068271e-06,2.7155162692438144e-07,0.2095787864274879,11.45346312210361,0.0235690235690235,0.9335310293267712
2330,trade_size,530,366.0377358490566,1124742.3048115056,6.071390725025847,47.25942246011399,14310,389.5877009084557,5166472.050277712,42.24266916917369,2399.823901103269,0.0042627533193571,1.0
2330,bid_ask_spread,530,1.0075471698113208,0.0112850875628633,15.613801236098098,262.71100536128563,14310,1.0028651292802235,0.0028571199734089,18.60375820982518,344.1479184509568,0.0027952480782669,1.0
2330,spread_first_diff,528,0.0037878787878787,0.0151658904030819,8.066133623309904,162.8662903914308,14256,0.0002104377104377,0.0054015691818217,0.5216032316583088,182.20418930726524,0.0028759820426487,1.0
2330,pressure_level_1,530,-0.0516182998430762,0.1805738677152633,0.3778267214785317,-0.4262777421723323,14310,-0.0385843841028459,0.188269081702572,0.0948859292362808,-0.612430054377719,0.0679245283018867,0.0170735295872375
2330,pressure_level_5,530,0.0458966188743815,0.0587507588257662,-1.3078673423721408,2.1189009562050045,14310,-0.1380143784956913,0.0887694211150498,0.2756262310901773,-0.7965183258536488,0.376030747728861,2.0881675303128425e-65
